symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
BETABTC,0.00000002,0.104,0.00001954,0.00001927,0.00001932,445.00000000,0.00001928,830.00000000,0.00001936,700.00000000,0.00001930,0.00002110,0.00001831,2245921.00000000,43.89426431,1637100120471,1637186520471,511664,515860,4197
BETABNB,0.00001710,0.860,0.00201939,0.00198460,0.00200520,100.00000000,0.00200290,860.00000000,0.00201810,1096.00000000,0.00198810,0.00215730,0.00187300,1047949.00000000,2116.21861070,1637100088740,1637186488740,502152,504176,2025
BETABUSD,-0.00428000,-0.368,1.16642436,1.16400000,1.15976000,10.00000000,1.15965000,12.00000000,1.16355000,433.00000000,1.16404000,1.24079000,1.08457000,3466321.00000000,4043201.26589000,1637100122097,1637186522097,3716449,3729069,12621
BETAUSDT,-0.00314000,-0.270,1.16741032,1.16422000,1.16086000,19.00000000,1.15949000,481.00000000,1.16087000,258.00000000,1.16400000,1.24467000,1.08328000,12344696.00000000,14411325.45021000,1637100125653,1637186525653,6525767,6556623,30857
SHIBAUD,-0.00000129,-1.909,0.00006674,0.00006746,0.00006628,49816628.00,0.00006623,8750006.00,0.00006626,46328657.00,0.00006757,0.00006898,0.00006447,77816339167.00,5193806.70163876,1637100125479,1637186525479,386340,393176,6837
RAREBTC,0.00000115,4.587,0.00002620,0.00002491,0.00002622,20.00000000,0.00002622,311.40000000,0.00002631,31.10000000,0.00002507,0.00002811,0.00002390,526703.60000000,13.80164791,1637100079450,1637186479450,223845,227701,3857
RAREBNB,0.00016500,6.383,0.00274446,0.00258000,0.00275000,145.40000000,0.00272300,610.80000000,0.00274900,3369.30000000,0.00258500,0.00293800,0.00246800,194273.90000000,533.17722920,1637100098196,1637186498196,66267,66965,699
RAREBUSD,0.07400000,4.914,1.56040650,1.50500000,1.58000000,25.90000000,1.57500000,529.60000000,1.58100000,53.90000000,1.50600000,1.70000000,1.41100000,879154.20000000,1371837.92720000,1637100074522,1637186474522,1175976,1185606,9631
RAREUSDT,0.07000000,4.648,1.56083200,1.50900000,1.57600000,794.60000000,1.57500000,2871.20000000,1.57600000,320.10000000,1.50600000,1.70000000,1.40600000,3644849.50000000,5688997.75030000,1637100120974,1637186520974,2095454,2119440,23987
AVAXBRL,40.40000000,7.345,571.66085388,551.40000000,590.40000000,0.03000000,590.80000000,9.44000000,593.30000000,0.03000000,550.00000000,617.20000000,511.50000000,7134.96000000,4078777.32600000,1637100122439,1637186522439,49610,53551,3942
AVAXAUD,9.98000000,7.322,139.97510039,136.32000000,146.28000000,2.40000000,146.19000000,23.60000000,147.08000000,16.14000000,136.30000000,154.99000000,124.69000000,22602.19000000,3163743.81430000,1637100124752,1637186524752,42017,46654,4638
LUNAAUD,-0.63000000,-1.040,58.74503000,60.43000000,59.95000000,1.85000000,59.69000000,46.26000000,59.81000000,200.06000000,60.58000000,60.76000000,55.92000000,75866.08000000,4456755.14550000,1637100125815,1637186525815,129412,134101,4690
TROYBUSD,0.00054400,4.157,0.01336126,0.01303600,0.01362900,10000.00000000,0.01357500,1029.00000000,0.01363100,3200.00000000,0.01308500,0.01398700,0.01260700,47771783.00000000,638291.35872600,1637100124276,1637186524276,347854,352235,4382
